Datetime,Water Level (m)
2023-12-23 06:00:00,-0.34200314
2023-12-23 07:00:00,-0.562438
2023-12-23 08:00:00,-0.7197442
2023-12-23 09:00:00,-0.8371283
2023-12-23 10:00:00,-0.9125689
2023-12-23 11:00:00,-0.8795074
2023-12-23 12:00:00,-0.44474062
2023-12-23 13:00:00,0.030375754
2023-12-23 14:00:00,0.3631969
2023-12-23 15:00:00,0.5973482
2023-12-23 16:00:00,0.6344058
2023-12-23 17:00:00,0.48724276
2023-12-23 18:00:00,0.18755703
2023-12-23 19:00:00,-0.13572584
2023-12-23 20:00:00,-0.34534302
2023-12-23 21:00:00,-0.49973083
2023-12-23 22:00:00,-0.6142224
2023-12-23 23:00:00,-0.6899635
2023-12-24 00:00:00,-0.6506562
2023-12-24 01:00:00,-0.30781534
2023-12-24 02:00:00,0.046192095
2023-12-24 03:00:00,0.24325377
2023-12-24 04:00:00,0.33033034
2023-12-24 05:00:00,0.23026448
2023-12-24 06:00:00,-0.045849733
2023-12-24 07:00:00,-0.37287354
2023-12-24 08:00:00,-0.60501766
2023-12-24 09:00:00,-0.7734427
2023-12-24 10:00:00,-0.89787215
2023-12-24 11:00:00,-0.9744659
2023-12-24 12:00:00,-0.87342596
2023-12-24 13:00:00,-0.32867697
2023-12-24 14:00:00,0.11822506
2023-12-24 15:00:00,0.43490297
2023-12-24 16:00:00,0.64040196
2023-12-24 17:00:00,0.66957575
2023-12-24 18:00:00,0.52165645
2023-12-24 19:00:00,0.20652454
2023-12-24 20:00:00,-0.12541056
2023-12-24 21:00:00,-0.35550094
2023-12-24 22:00:00,-0.52776206
2023-12-24 23:00:00,-0.66271216
2023-12-25 00:00:00,-0.7584349
2023-12-25 01:00:00,-0.7133515
2023-12-25 02:00:00,-0.26739275
2023-12-25 03:00:00,0.10238293
2023-12-25 04:00:00,0.29594383
2023-12-25 05:00:00,0.35814172
2023-12-25 06:00:00,0.20033972
2023-12-25 07:00:00,-0.13227817
2023-12-25 08:00:00,-0.44567704
2023-12-25 09:00:00,-0.65976065
2023-12-25 10:00:00,-0.81131667
2023-12-25 11:00:00,-0.9222277
2023-12-25 12:00:00,-0.9790392
2023-12-25 13:00:00,-0.7890962
2023-12-25 14:00:00,-0.21187276
2023-12-25 15:00:00,0.22454509
2023-12-25 16:00:00,0.53656375
2023-12-25 17:00:00,0.7224695
2023-12-25 18:00:00,0.7133142
2023-12-25 19:00:00,0.5055388
2023-12-25 20:00:00,0.1314065
2023-12-25 21:00:00,-0.1953589
2023-12-25 22:00:00,-0.4127874
2023-12-25 23:00:00,-0.5791045
2023-12-26 00:00:00,-0.7112883
2023-12-26 01:00:00,-0.8000117
2023-12-26 02:00:00,-0.68692875
2023-12-26 03:00:00,-0.18088062
2023-12-26 04:00:00,0.15215033
2023-12-26 05:00:00,0.33332434
2023-12-26 06:00:00,0.35261327
2023-12-26 07:00:00,0.1405668
2023-12-26 08:00:00,-0.22751722
2023-12-26 09:00:00,-0.5158624
2023-12-26 10:00:00,-0.71343994
2023-12-26 11:00:00,-0.85139006
2023-12-26 12:00:00,-0.95587504
2023-12-26 13:00:00,-0.9849509
2023-12-26 14:00:00,-0.63749164
2023-12-26 15:00:00,-0.083647236
2023-12-26 16:00:00,0.32231852
2023-12-26 17:00:00,0.6226466
2023-12-26 18:00:00,0.76676905
2023-12-26 19:00:00,0.6936023
2023-12-26 20:00:00,0.40684903
2023-12-26 21:00:00,0.0075023468
2023-12-26 22:00:00,-0.28718588
2023-12-26 23:00:00,-0.4909582
2023-12-27 00:00:00,-0.650051
2023-12-27 01:00:00,-0.7800342
2023-12-27 02:00:00,-0.8406334
2023-12-27 03:00:00,-0.5680758
2023-12-27 04:00:00,-0.07556081
2023-12-27 05:00:00,0.20895927
2023-12-27 06:00:00,0.35535622
2023-12-27 07:00:00,0.29859143
2023-12-27 08:00:00,0.020235943
2023-12-27 09:00:00,-0.3487771
2023-12-27 10:00:00,-0.5960168
2023-12-27 11:00:00,-0.7678105
2023-12-27 12:00:00,-0.89443725
2023-12-27 13:00:00,-0.9837212
2023-12-27 14:00:00,-0.9533654
2023-12-27 15:00:00,-0.4421454
2023-12-27 16:00:00,0.058328368
